NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Faulkner County, Arkansas",05,045,124611,60844
"Franklin County, Arkansas",05,047,17160,8427
"Fulton County, Arkansas",05,049,12183,6091
"Garland County, Arkansas",05,051,100021,48360
"Grant County, Arkansas",05,053,18022,9080
"Greene County, Arkansas",05,055,45954,22749
"Hempstead County, Arkansas",05,057,20037,9734
"Hot Spring County, Arkansas",05,059,33129,17621
"Howard County, Arkansas",05,061,12779,6099
"Independence County, Arkansas",05,063,37910,18947
"Izard County, Arkansas",05,065,13748,7294
"Jackson County, Arkansas",05,067,16784,8419
"Jefferson County, Arkansas",05,069,66934,33541
"Johnson County, Arkansas",05,071,25925,12974
"Lafayette County, Arkansas",05,073,6277,3218
"Lawrence County, Arkansas",05,075,16258,8130
"Lee County, Arkansas",05,077,8666,4882
"Lincoln County, Arkansas",05,079,13016,8335
"Little River County, Arkansas",05,081,12024,5849
"Logan County, Arkansas",05,083,21247,10501
"Lonoke County, Arkansas",05,085,74292,36875
"Madison County, Arkansas",05,087,16737,8474
"Marion County, Arkansas",05,089,16905,8389
"Miller County, Arkansas",05,091,42682,21257
"Mississippi County, Arkansas",05,093,40361,19837
"Monroe County, Arkansas",05,095,6787,3278
"Montgomery County, Arkansas",05,097,8555,4380
"Nevada County, Arkansas",05,099,8292,4058
"Newton County, Arkansas",05,101,7243,3724
"Ouachita County, Arkansas",05,103,22606,11039
"Perry County, Arkansas",05,105,10055,5182
"Phillips County, Arkansas",05,107,16373,7600
"Pike County, Arkansas",05,109,10205,5013
"Poinsett County, Arkansas",05,111,22997,11246
"Polk County, Arkansas",05,113,19384,9508
"Pope County, Arkansas",05,115,63475,31401
"Prairie County, Arkansas",05,117,8217,4128
"Pulaski County, Arkansas",05,119,398322,190970
"Randolph County, Arkansas",05,121,18619,9393
"St. Francis County, Arkansas",05,123,23138,12793
"Saline County, Arkansas",05,125,123988,60702
"Scott County, Arkansas",05,127,9871,5205
"Searcy County, Arkansas",05,129,7880,3944
"Sebastian County, Arkansas",05,131,128184,63156
"Sevier County, Arkansas",05,133,15913,7977
"Sharp County, Arkansas",05,135,17422,8559
"Stone County, Arkansas",05,137,12393,6105
"Union County, Arkansas",05,139,38815,18966
"Van Buren County, Arkansas",05,141,15900,7814
"Washington County, Arkansas",05,143,247331,124636
"White County, Arkansas",05,145,77118,37704
"Woodruff County, Arkansas",05,147,6259,3105
"Yell County, Arkansas",05,149,20342,10309
"Alameda County, California",06,001,1663823,826561
"Alpine County, California",06,003,1515,882
"Amador County, California",06,005,40577,22007
"Butte County, California",06,007,213605,106376
"Calaveras County, California",06,009,45674,22749
"Colusa County, California",06,011,21811,11112
"Contra Costa County, California",06,013,1162648,573074
"Del Norte County, California",06,015,27462,14809
"El Dorado County, California",06,017,191713,96045
"Fresno County, California",06,019,1008280,506526
"Glenn County, California",06,021,28657,14763
"Humboldt County, California",06,023,136132,67729
"Imperial County, California",06,025,179578,92430
"Inyo County, California",06,027,18829,9617
"Kern County, California",06,029,906883,464093
"Kings County, California",06,031,152515,84277
"Lake County, California",06,033,68024,34144
"Lassen County, California",06,035,31873,20127
"Los Angeles County, California",06,037,9936690,4937101
