NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Cumberland County, Illinois",17,035,10447,5400
"DeKalb County, Illinois",17,037,100686,50029
"De Witt County, Illinois",17,039,15535,7822
"Douglas County, Illinois",17,041,19714,9766
"DuPage County, Illinois",17,043,930559,461287
"Edgar County, Illinois",17,045,16852,8364
"Edwards County, Illinois",17,047,6182,3064
"Effingham County, Illinois",17,049,34594,17394
"Fayette County, Illinois",17,051,21464,11334
"Ford County, Illinois",17,053,13484,6760
"Franklin County, Illinois",17,055,37810,18902
"Fulton County, Illinois",17,057,33691,17528
"Gallatin County, Illinois",17,059,4967,2498
"Greene County, Illinois",17,061,12015,6050
"Grundy County, Illinois",17,063,52624,26702
"Hamilton County, Illinois",17,065,8008,3965
"Hancock County, Illinois",17,067,17582,8916
"Hardin County, Illinois",17,069,3665,1846
"Henderson County, Illinois",17,071,6374,3194
"Henry County, Illinois",17,073,49157,24530
"Iroquois County, Illinois",17,075,27043,13380
"Jackson County, Illinois",17,077,53176,26334
"Jasper County, Illinois",17,079,9295,4713
"Jefferson County, Illinois",17,081,37043,19097
"Jersey County, Illinois",17,083,21462,10512
"Jo Daviess County, Illinois",17,085,21942,11058
"Johnson County, Illinois",17,087,13313,7779
"Kane County, Illinois",17,089,517254,259491
"Kankakee County, Illinois",17,091,107421,53263
"Kendall County, Illinois",17,093,132795,66370
"Knox County, Illinois",17,095,49751,25294
"Lake County, Illinois",17,097,713159,359281
"LaSalle County, Illinois",17,099,109495,55761
"Lawrence County, Illinois",17,101,15302,8608
"Lee County, Illinois",17,103,34221,18205
"Livingston County, Illinois",17,105,35771,18285
"Logan County, Illinois",17,107,28027,13619
"McDonough County, Illinois",17,109,27370,13336
"McHenry County, Illinois",17,111,311133,155933
"McLean County, Illinois",17,113,171284,83922
"Macon County, Illinois",17,115,103542,49921
"Macoupin County, Illinois",17,117,44907,22332
"Madison County, Illinois",17,119,265512,130136
"Marion County, Illinois",17,121,37543,18520
"Marshall County, Illinois",17,123,11740,5906
"Mason County, Illinois",17,125,13074,6433
"Massac County, Illinois",17,127,14135,6869
"Menard County, Illinois",17,129,12284,6051
"Mercer County, Illinois",17,131,15692,7951
"Monroe County, Illinois",17,133,34905,17530
"Montgomery County, Illinois",17,135,28352,15006
"Morgan County, Illinois",17,137,32882,16317
"Moultrie County, Illinois",17,139,14531,7171
"Ogle County, Illinois",17,141,51672,25836
"Peoria County, Illinois",17,143,181186,88477
"Perry County, Illinois",17,145,20996,11462
"Piatt County, Illinois",17,147,16698,8227
"Pike County, Illinois",17,149,14776,7404
"Pope County, Illinois",17,151,3799,1966
"Pulaski County, Illinois",17,153,5177,2600
"Putnam County, Illinois",17,155,5628,2886
"Randolph County, Illinois",17,157,30413,16471
"Richland County, Illinois",17,159,15716,7847
"Rock Island County, Illinois",17,161,143819,71318
"St. Clair County, Illinois",17,163,256791,124864
"Saline County, Illinois",17,165,23662,11604
"Sangamon County, Illinois",17,167,196122,94848
"Schuyler County, Illinois",17,169,6879,3813
"Scott County, Illinois",17,171,4899,2468
"Shelby County, Illinois",17,173,21042,10434
"Stark County, Illinois",17,175,5395,2720
"Stephenson County, Illinois",17,177,44482,21763
"Tazewell County, Illinois",17,179,131276,64995
"Union County, Illinois",17,181,17122,8662
"Vermilion County, Illinois",17,183,74113,37165
"Wabash County, Illinois",17,185,11321,5516
"Warren County, Illinois",17,187,16760,8311
"Washington County, Illinois",17,189,13781,7013
"Wayne County, Illinois",17,191,16127,8092
"White County, Illinois",17,193,13834,6758
"Whiteside County, Illinois",17,195,55569,27939
"Will County, Illinois",17,197,696774,348352
"Williamson County, Illinois",17,199,67120,33757
"Winnebago County, Illinois",17,201,284591,139697
"Woodford County, Illinois",17,203,38414,19241
"Adams County, Indiana",18,001,35827,17994
"Allen County, Indiana",18,003,385456,189922
"Bartholomew County, Indiana",18,005,82371,41670
"Benton County, Indiana",18,007,8709,4389
"Blackford County, Indiana",18,009,12074,5892
"Boone County, Indiana",18,011,71235,35557
"Brown County, Indiana",18,013,15513,7767
"Carroll County, Indiana",18,015,20397,10389
"Cass County, Indiana",18,017,37820,18812
"Clark County, Indiana",18,019,121484,59727
"Clay County, Indiana",18,021,26396,13130
"Clinton County, Indiana",18,023,33020,16560
"Crawford County, Indiana",18,025,10511,5422
"Daviess County, Indiana",18,027,33337,16621
"Dearborn County, Indiana",18,029,50709,25306
"Decatur County, Indiana",18,031,26432,13231
"DeKalb County, Indiana",18,033,43312,21585
"Delaware County, Indiana",18,035,112156,54338
"Dubois County, Indiana",18,037,43584,21908
"Elkhart County, Indiana",18,039,206841,102604
"Fayette County, Indiana",18,041,23391,11504
"Floyd County, Indiana",18,043,80191,39240
"Fountain County, Indiana",18,045,16468,8249
"Franklin County, Indiana",18,047,22850,11368
"Fulton County, Indiana",18,049,20420,10257
"Gibson County, Indiana",18,051,33006,16739
"Grant County, Indiana",18,053,66560,31961
"Greene County, Indiana",18,055,30900,15614
"Hamilton County, Indiana",18,057,349527,172239
"Hancock County, Indiana",18,059,80170,39956
"Harrison County, Indiana",18,061,39684,20025
"Hendricks County, Indiana",18,063,175639,88267
"Henry County, Indiana",18,065,48913,25877
"Howard County, Indiana",18,067,83452,40618
"Huntington County, Indiana",18,069,36699,18383
"Jackson County, Indiana",18,071,46212,23240
"Jasper County, Indiana",18,073,33045,16600
"Jay County, Indiana",18,075,20451,10298
"Jefferson County, Indiana",18,077,33057,15864
"Jennings County, Indiana",18,079,27610,14060
"Johnson County, Indiana",18,081,161952,80197
"Knox County, Indiana",18,083,36148,18385
"Kosciusko County, Indiana",18,085,80442,40282
"LaGrange County, Indiana",18,087,40364,20433
"Lake County, Indiana",18,089,497682,242732
"LaPorte County, Indiana",18,091,112215,58203
"Lawrence County, Indiana",18,093,45113,22278
"Madison County, Indiana",18,095,130545,65913
"Marion County, Indiana",18,097,971737,471206
"Marshall County, Indiana",18,099,46208,23370
"Martin County, Indiana",18,101,9863,5091
"Miami County, Indiana",18,103,35952,19575
"Monroe County, Indiana",18,105,140065,69953
"Montgomery County, Indiana",18,107,38018,19455
"Morgan County, Indiana",18,109,71757,35959
"Newton County, Indiana",18,111,13829,7123
"Noble County, Indiana",18,113,47431,23977
"Ohio County, Indiana",18,115,5974,2959
"Orange County, Indiana",18,117,19768,9889
"Owen County, Indiana",18,119,21361,10898
"Parke County, Indiana",18,121,16327,7861
"Perry County, Indiana",18,123,19186,10419
"Pike County, Indiana",18,125,12227,6092
"Porter County, Indiana",18,127,173355,86060
"Posey County, Indiana",18,129,25226,12735
"Pulaski County, Indiana",18,131,12498,6255
"Putnam County, Indiana",18,133,36942,19430
"Randolph County, Indiana",18,135,24586,12318
"Ripley County, Indiana",18,137,28990,14424
"Rush County, Indiana",18,139,16716,8374
"St. Joseph County, Indiana",18,141,272388,133435
"Scott County, Indiana",18,143,24403,12208
"Shelby County, Indiana",18,145,44940,22269
"Spencer County, Indiana",18,147,19935,10161
"Starke County, Indiana",18,149,23308,11724
"Steuben County, Indiana",18,151,34507,17722
"Sullivan County, Indiana",18,153,20791,11140
"Switzerland County, Indiana",18,155,9896,5046
"Tippecanoe County, Indiana",18,157,186955,96158
"Tipton County, Indiana",18,159,15328,7637
"Union County, Indiana",18,161,7041,3487
"Vanderburgh County, Indiana",18,163,179900,88005
"Vermillion County, Indiana",18,165,15488,7852
"Vigo County, Indiana",18,167,106355,53823
"Wabash County, Indiana",18,169,31032,15174
"Warren County, Indiana",18,171,8454,4216
"Warrick County, Indiana",18,173,64065,31526
"Washington County, Indiana",18,175,28133,13988
"Wayne County, Indiana",18,177,66522,32540
"Wells County, Indiana",18,179,28167,13959
"White County, Indiana",18,181,24630,12424
"Whitley County, Indiana",18,183,34259,17275
"Adair County, Iowa",19,001,7479,3816
"Adams County, Iowa",19,003,3680,1850
"Allamakee County, Iowa",19,005,14046,7088
"Appanoose County, Iowa",19,007,12279,6147
"Audubon County, Iowa",19,009,5651,2811
"Benton County, Iowa",19,011,25652,12934
"Black Hawk County, Iowa",19,013,131041,64632
"Boone County, Iowa",19,015,26700,13632
"Bremer County, Iowa",19,017,25012,12529
"Buchanan County, Iowa",19,019,20631,10340
"Buena Vista County, Iowa",19,021,20687,10599
"Butler County, Iowa",19,023,14376,7132
"Calhoun County, Iowa",19,025,9893,5162
"Carroll County, Iowa",19,027,20728,10370
"Cass County, Iowa",19,029,13116,6493
"Cedar County, Iowa",19,031,18479,9162
"Cerro Gordo County, Iowa",19,033,42979,21433
"Cherokee County, Iowa",19,035,11601,5842
"Chickasaw County, Iowa",19,037,11957,6115
"Clarke County, Iowa",19,039,9737,5039
"Clay County, Iowa",19,041,16423,8029
"Clayton County, Iowa",19,043,17123,8663
"Clinton County, Iowa",19,045,46488,22930
"Crawford County, Iowa",19,047,16450,8167
"Dallas County, Iowa",19,049,100367,49977
"Davis County, Iowa",19,051,9093,4636
"Decatur County, Iowa",19,053,7684,3912
"Delaware County, Iowa",19,055,17523,8944
"Des Moines County, Iowa",19,057,38824,19118
"Dickinson County, Iowa",19,059,17692,8843
"Dubuque County, Iowa",19,061,98812,49036
"Emmet County, Iowa",19,063,9349,4635
"Fayette County, Iowa",19,065,19519,9870
"Floyd County, Iowa",19,067,15601,7993
"Franklin County, Iowa",19,069,10015,5078
"Fremont County, Iowa",19,071,6639,3327
"Greene County, Iowa",19,073,8801,4373
"Grundy County, Iowa",19,075,12351,6151
"Guthrie County, Iowa",19,077,10619,5325
"Hamilton County, Iowa",19,079,14979,7637
"Hancock County, Iowa",19,081,10790,5493
"Hardin County, Iowa",19,083,16861,8496
"Harrison County, Iowa",19,085,14623,7452
"Henry County, Iowa",19,087,20436,10749
"Howard County, Iowa",19,089,9479,4787
"Humboldt County, Iowa",19,091,9606,4857
"Ida County, Iowa",19,093,6969,3506
"Iowa County, Iowa",19,095,16575,8470
"Jackson County, Iowa",19,097,19470,9867
"Jasper County, Iowa",19,099,37808,19739
"Jefferson County, Iowa",19,101,15785,8293
"Johnson County, Iowa",19,103,153360,76466
"Jones County, Iowa",19,105,20733,10828
"Keokuk County, Iowa",19,107,10026,5147
"Kossuth County, Iowa",19,109,14718,7433
"Lee County, Iowa",19,111,33442,16597
"Linn County, Iowa",19,113,229308,113646
"Louisa County, Iowa",19,115,10823,5572
"Lucas County, Iowa",19,117,8666,4457
"Lyon County, Iowa",19,119,12023,6161
"Madison County, Iowa",19,121,16609,8470
"Mahaska County, Iowa",19,123,22059,11202
"Marion County, Iowa",19,125,33487,16755
"Marshall County, Iowa",19,127,40049,20302
"Mills County, Iowa",19,129,14605,7156
"Mitchell County, Iowa",19,131,10537,5286
"Monona County, Iowa",19,133,8671,4201
"Monroe County, Iowa",19,135,7574,3774
"Montgomery County, Iowa",19,137,10285,4977
"Muscatine County, Iowa",19,139,42968,21552
"O'Brien County, Iowa",19,141,14138,7007
"Osceola County, Iowa",19,143,6149,3195
"Page County, Iowa",19,145,15225,8006
"Palo Alto County, Iowa",19,147,8938,4526
"Plymouth County, Iowa",19,149,25621,13013
"Pocahontas County, Iowa",19,151,7061,3502
"Polk County, Iowa",19,153,493378,245241
"Pottawattamie County, Iowa",19,155,93543,46861
"Poweshiek County, Iowa",19,157,18608,9129
"Ringgold County, Iowa",19,159,4690,2317
"Sac County, Iowa",19,161,9778,4938
"Scott County, Iowa",19,163,174315,86169
"Shelby County, Iowa",19,165,11737,5704
"Sioux County, Iowa",19,167,35815,18140
"Story County, Iowa",19,169,98573,51726
"Tama County, Iowa",19,171,17017,8627
"Taylor County, Iowa",19,173,5916,2949
"Union County, Iowa",19,175,12107,5899
"Van Buren County, Iowa",19,177,7207,3687
"Wapello County, Iowa",19,179,35292,17753
"Warren County, Iowa",19,181,52709,26268
"Washington County, Iowa",19,183,22534,11121
"Wayne County, Iowa",19,185,6484,3238
"Webster County, Iowa",19,187,36986,19367
"Winnebago County, Iowa",19,189,10704,5425
"Winneshiek County, Iowa",19,191,20050,10072
"Woodbury County, Iowa",19,193,105526,52847
"Worth County, Iowa",19,195,7417,3814
"Wright County, Iowa",19,197,12897,6553
"Allen County, Kansas",20,001,12554,6206
"Anderson County, Kansas",20,003,7799,3886
"Atchison County, Kansas",20,005,16309,7909
"Barber County, Kansas",20,007,4081,2093
"Barton County, Kansas",20,009,25477,12548
"Bourbon County, Kansas",20,011,14405,7015
"Brown County, Kansas",20,013,9486,4715
"Butler County, Kansas",20,015,67618,34400
"Chase County, Kansas",20,017,2570,1322
"Chautauqua County, Kansas",20,019,3389,1763
"Cherokee County, Kansas",20,021,19380,9485
"Cheyenne County, Kansas",20,023,2619,1373
"Clark County, Kansas",20,025,1977,1017
"Clay County, Kansas",20,027,8088,4113
"Cloud County, Kansas",20,029,9008,4653
"Coffey County, Kansas",20,031,8334,4191
"Comanche County, Kansas",20,033,1825,914
"Cowley County, Kansas",20,035,34661,17550
"Crawford County, Kansas",20,037,39012,19945
"Decatur County, Kansas",20,039,2771,1407
"Dickinson County, Kansas",20,041,18492,9403
"Doniphan County, Kansas",20,043,7501,3884
"Douglas County, Kansas",20,045,119094,59385
"Edwards County, Kansas",20,047,2849,1404
"Elk County, Kansas",20,049,2453,1245
"Ellis County, Kansas",20,051,28921,14463
"Ellsworth County, Kansas",20,053,6374,3578
"Finney County, Kansas",20,055,38187,19697
"Ford County, Kansas",20,057,34212,17709
"Franklin County, Kansas",20,059,25968,13000
"Geary County, Kansas",20,061,36247,19277
"Gove County, Kansas",20,063,2758,1402
"Graham County, Kansas",20,065,2430,1203
"Grant County, Kansas",20,067,7336,4087
"Gray County, Kansas",20,069,5719,2933
"Greeley County, Kansas",20,071,1279,609
"Greenwood County, Kansas",20,073,6001,3045
"Hamilton County, Kansas",20,075,2520,1287
"Harper County, Kansas",20,077,5457,2698
"Harvey County, Kansas",20,079,33959,16679
"Haskell County, Kansas",20,081,3735,1824
"Hodgeman County, Kansas",20,083,1770,849
"Jackson County, Kansas",20,085,13274,6748
"Jefferson County, Kansas",20,087,18387,9299
"Jewell County, Kansas",20,089,2929,1521
"Johnson County, Kansas",20,091,610742,302382
"Kearny County, Kansas",20,093,3964,2041
"Kingman County, Kansas",20,095,7369,3744
"Kiowa County, Kansas",20,097,2445,1150
"Labette County, Kansas",20,099,20096,10233
"Lane County, Kansas",20,101,1528,754
"Leavenworth County, Kansas",20,103,82050,43746
"Lincoln County, Kansas",20,105,2929,1494
"Linn County, Kansas",20,107,9696,5009
"Logan County, Kansas",20,109,2752,1427
"Lyon County, Kansas",20,111,32182,15699
"McPherson County, Kansas",20,113,30085,14968
"Marion County, Kansas",20,115,11867,5993
"Marshall County, Kansas",20,117,10014,5032
"Meade County, Kansas",20,119,4019,1999
"Miami County, Kansas",20,121,34312,17443
"Mitchell County, Kansas",20,123,5829,2924
"Montgomery County, Kansas",20,125,31448,15848
"Morris County, Kansas",20,127,5385,2791
"Morton County, Kansas",20,129,2688,1268
"Nemaha County, Kansas",20,131,10219,5224
"Neosho County, Kansas",20,133,15826,7835
"Ness County, Kansas",20,135,2677,1370
"Norton County, Kansas",20,137,5431,3053
"Osage County, Kansas",20,139,15787,8107
"Osborne County, Kansas",20,141,3493,1757
"Ottawa County, Kansas",20,143,5768,3025
"Pawnee County, Kansas",20,145,6288,3448
"Phillips County, Kansas",20,147,4960,2526
"Pottawatomie County, Kansas",20,149,25482,12835
"Pratt County, Kansas",20,151,9175,4607
"Rawlins County, Kansas",20,153,2544,1304
"Reno County, Kansas",20,155,61881,31255
"Republic County, Kansas",20,157,4686,2319
"Rice County, Kansas",20,159,9441,4857
"Riley County, Kansas",20,161,72105,38502
"Rooks County, Kansas",20,163,4925,2442
"Rush County, Kansas",20,165,2939,1511
"Russell County, Kansas",20,167,6702,3291
"Saline County, Kansas",20,169,54160,26987
"Scott County, Kansas",20,171,5128,2617
"Sedgwick County, Kansas",20,173,522700,260195
"Seward County, Kansas",20,175,21942,11564
"Shawnee County, Kansas",20,177,178625,87074
"Sheridan County, Kansas",20,179,2450,1260
"Sherman County, Kansas",20,181,5940,3136
"Smith County, Kansas",20,183,3561,1837
"Stafford County, Kansas",20,185,4054,2116
"Stanton County, Kansas",20,187,2060,1077
"Stevens County, Kansas",20,189,5275,2729
"Sumner County, Kansas",20,191,22517,11374
"Thomas County, Kansas",20,193,7907,3957
"Trego County, Kansas",20,195,2798,1410
"Wabaunsee County, Kansas",20,197,6922,3527
"Wallace County, Kansas",20,199,1489,774
"Washington County, Kansas",20,201,5529,2877
"Wichita County, Kansas",20,203,2131,1120
"Wilson County, Kansas",20,205,8667,4329
"Woodson County, Kansas",20,207,3134,1602
"Wyandotte County, Kansas",20,209,167989,84439
"Adair County, Kentucky",21,001,18887,9564
"Allen County, Kentucky",21,003,20773,10364
"Anderson County, Kentucky",21,005,23839,12072
"Ballard County, Kentucky",21,007,7742,3905
"Barren County, Kentucky",21,009,44511,21654
"Bath County, Kentucky",21,011,12739,6434
"Bell County, Kentucky",21,013,24248,12167
"Boone County, Kentucky",21,015,136150,67954
"Bourbon County, Kentucky",21,017,20228,9944
"Boyd County, Kentucky",21,019,48242,24188
"Boyle County, Kentucky",21,021,30613,15451
"Bracken County, Kentucky",21,023,8420,4238
"Breathitt County, Kentucky",21,025,13580,6865
"Breckinridge County, Kentucky",21,027,20528,10403
"Bullitt County, Kentucky",21,029,82482,41383
"Butler County, Kentucky",21,031,12365,6315
"Caldwell County, Kentucky",21,033,12635,6229
"Calloway County, Kentucky",21,035,37345,18201
"Campbell County, Kentucky",21,037,93122,46195
"Carlisle County, Kentucky",21,039,4782,2402
"Carroll County, Kentucky",21,041,10842,5554
"Carter County, Kentucky",21,043,26671,13343
"Casey County, Kentucky",21,045,15942,7713
"Christian County, Kentucky",21,047,72766,38239
"Clark County, Kentucky",21,049,36897,18043
"Clay County, Kentucky",21,051,20322,10703
"Clinton County, Kentucky",21,053,9295,4644
"Crittenden County, Kentucky",21,055,8979,4618
"Cumberland County, Kentucky",21,057,5974,2925
"Daviess County, Kentucky",21,059,102916,50574
"Edmonson County, Kentucky",21,061,12179,6134
"Elliott County, Kentucky",21,063,7378,4229
"Estill County, Kentucky",21,065,14138,7158
"Fayette County, Kentucky",21,067,321276,158371
"Fleming County, Kentucky",21,069,15111,7576
"Floyd County, Kentucky",21,071,35780,17535
"Franklin County, Kentucky",21,073,51475,24937
"Fulton County, Kentucky",21,075,6480,3359
"Gallatin County, Kentucky",21,077,8720,4514
"Garrard County, Kentucky",21,079,17175,8444
"Grant County, Kentucky",21,081,25085,12716
"Graves County, Kentucky",21,083,36701,18097
"Grayson County, Kentucky",21,085,26465,13178
"Green County, Kentucky",21,087,11198,5611
"Greenup County, Kentucky",21,089,35853,17610
"Hancock County, Kentucky",21,091,9058,4613
"Hardin County, Kentucky",21,093,111005,55411
"Harlan County, Kentucky",21,095,26589,12841
"Harrison County, Kentucky",21,097,18803,9126
"Hart County, Kentucky",21,099,19345,9580
"Henderson County, Kentucky",21,101,44770,21685
"Henry County, Kentucky",21,103,15731,7860
"Hickman County, Kentucky",21,105,4491,2153
"Hopkins County, Kentucky",21,107,45223,22060
"Jackson County, Kentucky",21,109,13002,6507
"Jefferson County, Kentucky",21,111,779232,379431
"Jessamine County, Kentucky",21,113,53381,25920
"Johnson County, Kentucky",21,115,22631,11327
"Kenton County, Kentucky",21,117,169066,84198
"Knott County, Kentucky",21,119,14282,7100
"Knox County, Kentucky",21,121,30207,14686
"Larue County, Kentucky",21,123,14902,7360
"Laurel County, Kentucky",21,125,62442,30964
"Lawrence County, Kentucky",21,127,16228,8148
"Lee County, Kentucky",21,129,7338,4183
"Leslie County, Kentucky",21,131,10468,5249
"Letcher County, Kentucky",21,133,21490,10702
"Lewis County, Kentucky",21,135,13063,6475
"Lincoln County, Kentucky",21,137,24320,11989
"Livingston County, Kentucky",21,139,8980,4444
"Logan County, Kentucky",21,141,27498,13456
"Lyon County, Kentucky",21,143,8721,4924
"McCracken County, Kentucky",21,145,67573,32855
"McCreary County, Kentucky",21,147,16892,9229
"McLean County, Kentucky",21,149,9173,4604
"Madison County, Kentucky",21,151,92955,45489
"Magoffin County, Kentucky",21,153,11647,5888
"Marion County, Kentucky",21,155,19627,9879
"Marshall County, Kentucky",21,157,31706,15768
"Martin County, Kentucky",21,159,11298,6382
"Mason County, Kentucky",21,161,17068,8367
"Meade County, Kentucky",21,163,29964,15083
"Menifee County, Kentucky",21,165,6174,3284
"Mercer County, Kentucky",21,167,22662,11343
"Metcalfe County, Kentucky",21,169,10313,5128
"Monroe County, Kentucky",21,171,11331,5645
"Montgomery County, Kentucky",21,173,28188,13700
"Morgan County, Kentucky",21,175,13840,8000
"Muhlenberg County, Kentucky",21,177,30735,15577
"Nelson County, Kentucky",21,179,46779,23364
"Nicholas County, Kentucky",21,181,7613,3823
"Ohio County, Kentucky",21,183,23782,11966
"Oldham County, Kentucky",21,185,67997,35607
"Owen County, Kentucky",21,187,11229,5702
"Owsley County, Kentucky",21,189,4054,2009
"Pendleton County, Kentucky",21,191,14638,7588
"Perry County, Kentucky",21,193,28136,13893
"Pike County, Kentucky",21,195,58196,28771
"Powell County, Kentucky",21,197,13089,6658
"Pulaski County, Kentucky",21,199,65145,32025
"Robertson County, Kentucky",21,201,2207,944
"Rockcastle County, Kentucky",21,203,16171,8035
"Rowan County, Kentucky",21,205,24551,11940
"Russell County, Kentucky",21,207,18021,8931
"Scott County, Kentucky",21,209,57286,28239
"Shelby County, Kentucky",21,211,48105,23719
"Simpson County, Kentucky",21,213,19574,9912
"Spencer County, Kentucky",21,215,19549,9878
"Taylor County, Kentucky",21,217,26056,12768
"Todd County, Kentucky",21,219,12281,6269
"Trigg County, Kentucky",21,221,14154,7031
"Trimble County, Kentucky",21,223,8510,4271
"Union County, Kentucky",21,225,13495,6847
"Warren County, Kentucky",21,227,135307,66809
"Washington County, Kentucky",21,229,12025,6026
"Wayne County, Kentucky",21,231,19666,9723
"Webster County, Kentucky",21,233,12951,6488
"Whitley County, Kentucky",21,235,36648,18114
"Wolfe County, Kentucky",21,237,6573,3442
"Woodford County, Kentucky",21,239,26886,12883
"Acadia Parish, Louisiana",22,001,57674,28596
"Allen Parish, Louisiana",22,003,22798,12751
"Ascension Parish, Louisiana",22,005,126973,62764
"Assumption Parish, Louisiana",22,007,21067,10039
"Avoyelles Parish, Louisiana",22,009,39529,19774
"Beauregard Parish, Louisiana",22,011,36553,18747
"Bienville Parish, Louisiana",22,013,12958,6192
"Bossier Parish, Louisiana",22,015,128877,64006
"Caddo Parish, Louisiana",22,017,236259,112058
"Calcasieu Parish, Louisiana",22,019,210770,103638
"Caldwell Parish, Louisiana",22,021,9658,5100
"Cameron Parish, Louisiana",22,023,5447,2989
"Catahoula Parish, Louisiana",22,025,8895,4655
"Claiborne Parish, Louisiana",22,027,14203,7656
"Concordia Parish, Louisiana",22,029,18677,9298
"De Soto Parish, Louisiana",22,031,26821,13130
"East Baton Rouge Parish, Louisiana",22,033,454369,217767
"East Carroll Parish, Louisiana",22,035,7371,4122
"East Feliciana Parish, Louisiana",22,037,19452,10737
"Evangeline Parish, Louisiana",22,039,32335,16410
"Franklin Parish, Louisiana",22,041,19752,9408
"Grant Parish, Louisiana",22,043,22185,12556
"Iberia Parish, Louisiana",22,045,69958,34540
"Iberville Parish, Louisiana",22,047,30210,15365
"Jackson Parish, Louisiana",22,049,15093,7624
"Jefferson Parish, Louisiana",22,051,436171,212244
"Jefferson Davis Parish, Louisiana",22,053,32277,16068
"Lafayette Parish, Louisiana",22,055,243175,119067
"Lafourche Parish, Louisiana",22,057,97220,47908
"LaSalle Parish, Louisiana",22,059,14764,7999
"Lincoln Parish, Louisiana",22,061,48323,23783
"Livingston Parish, Louisiana",22,063,143425,70817
"Madison Parish, Louisiana",22,065,10028,4770
"Morehouse Parish, Louisiana",22,067,25438,12407
"Natchitoches Parish, Louisiana",22,069,37478,18089
"Orleans Parish, Louisiana",22,071,380408,179688
"Ouachita Parish, Louisiana",22,073,159585,77016
"Plaquemines Parish, Louisiana",22,075,23305,12112
"Pointe Coupee Parish, Louisiana",22,077,20652,10201
"Rapides Parish, Louisiana",22,079,129536,62847
"Red River Parish, Louisiana",22,081,7631,3839
"Richland Parish, Louisiana",22,083,20028,9951
"Sabine Parish, Louisiana",22,085,22209,11048
"St. Bernard Parish, Louisiana",22,087,44038,21711
"St. Charles Parish, Louisiana",22,089,52191,26017
"St. Helena Parish, Louisiana",22,091,10872,5400
"St. James Parish, Louisiana",22,093,20090,9716
"St. John the Baptist Parish, Louisiana",22,095,41986,20563
"St. Landry Parish, Louisiana",22,097,82574,40045
"St. Martin Parish, Louisiana",22,099,51856,25442
"St. Mary Parish, Louisiana",22,101,49114,24037
"St. Tammany Parish, Louisiana",22,103,266168,130486
"Tangipahoa Parish, Louisiana",22,105,133953,65523
"Tensas Parish, Louisiana",22,107,4127,1948
"Terrebonne Parish, Louisiana",22,109,108862,53934
"Union Parish, Louisiana",22,111,21049,10450
"Vermilion Parish, Louisiana",22,113,57202,27840
"Vernon Parish, Louisiana",22,115,48452,25336
"Washington Parish, Louisiana",22,117,45514,22961
"Webster Parish, Louisiana",22,119,36761,18033
"West Baton Rouge Parish, Louisiana",22,121,27377,13586
"West Carroll Parish, Louisiana",22,123,9800,4829
"West Feliciana Parish, Louisiana",22,125,15358,10458
"Winn Parish, Louisiana",22,127,13665,7258
"Androscoggin County, Maine",23,001,111532,54855
"Aroostook County, Maine",23,003,67237,33504
"Cumberland County, Maine",23,005,303357,148066
"Franklin County, Maine",23,007,29839,14662
"Hancock County, Maine",23,009,55851,27342
"Kennebec County, Maine",23,011,124003,60678
"Knox County, Maine",23,013,40729,20526
"Lincoln County, Maine",23,015,35466,17538
"Oxford County, Maine",23,017,58276,29200
"Penobscot County, Maine",23,019,152640,75942
"Piscataquis County, Maine",23,021,16936,8571
"Sagadahoc County, Maine",23,023,36868,18230
"Somerset County, Maine",23,025,50656,25290
"Waldo County, Maine",23,027,39772,19799
"Washington County, Maine",23,029,31096,15385
"York County, Maine",23,031,212691,104642
"Allegany County, Maryland",24,001,68161,35912
"Anne Arundel County, Maryland",24,003,588109,291860
"Baltimore County, Maryland",24,005,850737,405306
"Calvert County, Maryland",24,009,93244,46543
"Caroline County, Maryland",24,011,33320,16414
"Carroll County, Maryland",24,013,173225,86406
"Cecil County, Maryland",24,015,103876,51773
"Charles County, Maryland",24,017,167035,80711
"Dorchester County, Maryland",24,019,32557,15261
"Frederick County, Maryland",24,021,273829,135810
"Garrett County, Maryland",24,023,28856,14499
"Harford County, Maryland",24,025,261059,128609
"Howard County, Maryland",24,027,332011,164011
"Kent County, Maryland",24,029,19289,9215
"Montgomery County, Maryland",24,031,1056910,515682
"Prince George's County, Maryland",24,033,957189,463483
"Queen Anne's County, Maryland",24,035,50316,25045
"St. Mary's County, Maryland",24,037,113814,57408
"Somerset County, Maryland",24,039,24672,13521
"Talbot County, Maryland",24,041,37663,18023
"Washington County, Maryland",24,043,154645,78755
"Wicomico County, Maryland",24,045,103815,49720
"Worcester County, Maryland",24,047,52827,25841
"Baltimore city, Maryland",24,510,584548,273088
"Barnstable County, Massachusetts",25,001,229436,110706
"Berkshire County, Massachusetts",25,003,128763,63103
"Bristol County, Massachusetts",25,005,576699,281769
"Dukes County, Massachusetts",25,007,20543,10091
"Essex County, Massachusetts",25,009,806103,392144
"Franklin County, Massachusetts",25,011,70980,35030
"Hampden County, Massachusetts",25,013,464575,226201
"Hampshire County, Massachusetts",25,015,153931,72786
"Middlesex County, Massachusetts",25,017,1623109,802270
"Nantucket County, Massachusetts",25,019,14065,7722
"Norfolk County, Massachusetts",25,021,722112,350867
"Plymouth County, Massachusetts",25,023,529548,259441
