NAME,Sex by Age_Estimate!!Total: (B01001_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total: (B17010_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family: (B17010_003E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_004E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_011E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present: (B17010_016E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_017E)",Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family: (B17010_023E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_024E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_031E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present: (B17010_036E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_037E)",Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total: (B11003_001E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11003_002E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years: (B11003_003E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total: (B11004_001E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11004_002E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With related children of the householder under 18 years: (B11004_003E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level: (B17017_002E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family: (B17017_004E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_015E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family: (B17017_009E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households: (B17017_020E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level: (B17017_031E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family: (B17017_033E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family: (B17017_038E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_044E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households: (B17017_049E),state,county,Non-married-couple households below poverty level,Non-married-couple households at or above poverty level,Non-married households with 1+ kids below poverty level,Non-married households with 1+ kids at or above poverty level,Married Couple Household Poverty Rate,Non-Married Household Poverty Rate,Married Couple With 1+ Kids Poverty Rate,Non-Married Household With 1+ Kids Poverty Rate,Non-Married/Married Household Poverty Rate Difference,Non-Married Household With 1+ Kids/MarriedHousehold With 1+ Kids Poverty Rate Difference
"Autauga County, Alabama",58761,15363,707,321,50,509,393,11182,4931,404,2219,1088,15363,11889,5027,15363,11889,5252,2396,707,509,571,1118,19912,11182,2903,2219,5827,01,001,1689,8730,443,1492,0.059466733955757425,0.16210768787791535,0.06111957349581112,0.2289405684754522,0.10264095392215793,0.16782099497964106
"Baldwin County, Alabama",233420,61277,1840,939,519,1888,1521,49179,17444,1393,5537,2962,61277,51019,16575,61277,51019,18383,10315,1840,1888,2473,6002,80487,49179,7785,5537,23523,01,003,8475,31308,2040,4355,0.036064995393872874,0.21303069150139506,0.05107980199096992,0.3189992181391712,0.1769656961075222,0.2679194161482013
"Barbour County, Alabama",24877,5722,236,115,31,875,721,3195,1126,186,938,521,5722,3431,1089,5722,3431,1241,2169,236,875,957,976,6847,3195,1334,938,2318,01,005,1933,3652,752,707,0.06878461090061207,0.3461056401074306,0.0926672038678485,0.5154215215901302,0.27732102920681856,0.4227543177222817
"Bibb County, Alabama",22251,4871,226,154,69,449,426,3391,1136,213,305,225,4871,3617,1069,4871,3617,1290,1569,226,449,568,775,5647,3391,686,305,1570,01,007,1343,2256,495,438,0.0624827204865911,0.3731592108919144,0.11937984496124031,0.5305466237942122,0.3106764904053233,0.4111667788329719
"Blount County, Alabama",59077,15416,895,540,78,506,385,11171,4471,445,1853,1132,15416,12066,4415,15416,12066,5011,3469,895,506,674,1900,18157,11171,2676,1853,4310,01,009,2574,6986,463,1577,0.07417536880490636,0.26924686192468616,0.10776292157254042,0.2269607843137255,0.1950714931197798,0.11919786274118507
"Bullock County, Alabama",10328,2248,192,168,0,271,260,992,315,160,530,326,2248,1184,426,2248,1184,483,1000,192,271,304,504,2450,992,760,530,698,01,011,808,1458,260,486,0.16216216216216217,0.35657546337157986,0.34782608695652173,0.3485254691689008,0.1944133012094177,0.0006993822123790849
"Butler County, Alabama",18981,4620,334,192,19,428,357,2907,890,72,755,417,4620,3241,907,4620,3241,1082,1372,334,428,474,564,5759,2907,905,755,1947,01,013,1038,2852,376,489,0.10305461277383524,0.2668380462724936,0.17744916820702403,0.4346820809248555,0.16378343349865834,0.25723291271783144
"Calhoun County, Alabama",116162,28213,1214,737,260,2070,1725,17963,6151,1080,4540,2555,28213,19177,6316,28213,19177,6888,8256,1214,2070,2416,4626,36437,17963,6620,4540,11854,01,015,7042,18474,1985,3635,0.063305000782187,0.2759836965041543,0.10699767711962833,0.35320284697508897,0.2126786957219673,0.24620516985546065
"Chambers County, Alabama",34612,8880,393,142,84,750,599,5382,2000,376,1467,542,8880,5775,1699,8880,5775,2142,2511,393,750,834,1284,10632,5382,2271,1467,2979,01,017,2118,5250,683,918,0.06805194805194806,0.28745928338762217,0.06629318394024276,0.42660836976889444,0.2194073353356741,0.3603151858286517
"Cherokee County, Alabama",25069,6609,492,219,38,274,217,4765,1497,209,657,222,6609,5257,1552,6609,5257,1716,1574,492,274,320,762,8423,4765,1032,657,2626,01,019,1082,3658,255,431,0.09358949971466617,0.22827004219409283,0.12762237762237763,0.3717201166180758,0.13468054247942668,0.24409773899569817
"Chilton County, Alabama",45140,12257,574,216,145,590,493,8488,3214,492,1607,659,12257,9062,3218,12257,9062,3430,2391,574,590,799,1018,14540,8488,2396,1607,3656,01,021,1817,6052,638,1151,0.06334142573383358,0.23090608717753208,0.0629737609329446,0.35662381218557854,0.1675646614436985,0.29365005125263394
"Choctaw County, Alabama",12669,3246,138,69,15,343,320,2195,623,49,487,245,3246,2333,601,3246,2333,692,1112,138,343,374,600,4116,2195,539,487,1382,01,023,974,1921,335,294,0.05915130732961852,0.3364421416234888,0.09971098265895954,0.5325914149443561,0.27729083429387025,0.4328804322853966
"Clarke County, Alabama",23058,5181,267,111,72,381,365,3175,996,208,811,505,5181,3442,991,5181,3442,1107,1807,267,381,529,1011,6381,3175,1210,811,1996,01,025,1540,3206,437,713,0.07757117954677513,0.32448377581120946,0.1002710027100271,0.38,0.24691259626443435,0.2797289972899729
"Clay County, Alabama",14209,3934,238,86,19,261,189,2931,915,80,287,122,3934,3169,959,3934,3169,1001,1055,238,261,326,491,4430,2931,439,287,1060,01,027,817,1499,208,202,0.07510255601136005,0.35276338514680483,0.08591408591408592,0.5073170731707317,0.27766082913544476,0.4214029872566458
"Cleburne County, Alabama",15144,3834,61,21,88,123,104,2925,1014,35,504,230,3834,2986,863,3834,2986,1035,875,61,123,212,602,4886,2925,636,504,1325,01,029,814,1961,192,265,0.02042866711319491,0.29333333333333333,0.020289855072463767,0.4201312910284464,0.2729046662201384,0.3998414359559826
"Coffee County, Alabama",53559,13698,598,265,169,898,757,9230,3501,435,2040,1167,13698,9828,3518,13698,9828,3766,3241,598,898,1088,1555,17122,9230,2782,2040,5110,01,031,2643,7892,926,1602,0.06084656084656084,0.2508780256288562,0.07036643653744025,0.3662974683544304,0.19003146478229535,0.29593103181699015
