NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total: (B17010_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family: (B17010_003E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_004E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_011E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present: (B17010_016E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_017E)",Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family: (B17010_023E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_024E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_031E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present: (B17010_036E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_037E)",Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total: (B11003_001E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11003_002E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years: (B11003_003E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total: (B11004_001E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11004_002E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With related children of the householder under 18 years: (B11004_003E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level: (B17017_002E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family: (B17017_004E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_015E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family: (B17017_009E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households: (B17017_020E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level: (B17017_031E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family: (B17017_033E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family: (B17017_038E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_044E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households: (B17017_049E),Non-married-couple households below poverty level,Non-married-couple households at or above poverty level,Non-married households with 1+ kids below poverty level,Non-married households with 1+ kids at or above poverty level,Married Couple Household Poverty Rate,Non-Married Household Poverty Rate,Married Couple With 1+ Kids Poverty Rate,Non-Married Household With 1+ Kids Poverty Rate,Non-Married/Married Household Poverty Rate Difference,Non-Married Household With 1+ Kids/Married Household With 1+ Kids Poverty Rate Difference,Non-Married/Married Household Poverty Rate Ratio,Non-Married Household With 1+ Kids/Married Household With 1+ Kids Poverty Rate Ratio
"Simpson County, Mississippi",28,127,25889,6766,156,36,63,627,514,4601,2052,63,1060,551,6766,4757,1932,6766,4757,2088,1615,156,627,768,691,7919,4601,1241,1060,2077,1459,3318,577,614,0.032793777590918644,0.3054218128532552,0.017241379310344827,0.48446683459277917,0.2726280352623366,0.46722545528243437,9.313407459890609,28.099076406381194
"Smith County, Mississippi",28,129,14310,3515,191,76,6,258,247,2417,907,111,399,193,3515,2608,770,3515,2608,983,1115,191,258,338,586,4335,2417,569,399,1349,924,1918,253,304,0.0732361963190184,0.3251231527093596,0.07731434384537131,0.4542190305206463,0.2518869563903412,0.376904686675275,4.439377917623088,5.874964565813097
"Stone County, Mississippi",28,131,18360,4874,397,241,42,392,389,3304,1144,109,432,191,4874,3701,1210,4874,3701,1385,1207,397,392,482,328,5310,3304,691,432,1315,810,2006,431,300,0.10726830586328019,0.28764204545454547,0.1740072202166065,0.5896032831737346,0.1803737395912653,0.41559606295712803,2.6815194212273874,3.3883840132598437
"Sunflower County, Mississippi",28,133,25867,5144,185,47,54,862,820,2448,964,147,1298,802,5144,2633,827,5144,2633,1011,2372,185,862,933,1254,5764,2448,1578,1298,1738,2187,3316,874,949,0.07026205848841625,0.3974195893149191,0.04648862512363996,0.4794295117937466,0.32715753082650284,0.43294088667010666,5.656247452249633,10.312834817520805
"Tallahatchie County, Mississippi",28,135,12621,2826,124,68,68,400,318,1372,465,198,500,288,2826,1496,405,2826,1496,533,1026,124,400,477,425,3275,1372,853,500,1050,902,1903,386,486,0.08288770053475936,0.3215686274509804,0.1275797373358349,0.4426605504587156,0.23868092691622106,0.3150808131228807,3.8795698924731186,3.4696775499190506
"Tate County, Mississippi",28,137,28094,7757,455,318,133,509,446,5004,2342,142,1360,612,7757,5459,2305,7757,5459,2660,1791,455,509,662,674,8705,5004,1636,1360,2065,1336,3701,579,754,0.08334859864444037,0.26523724439150287,0.11954887218045113,0.43435858964741186,0.18188864574706248,0.31480971746696074,3.182263993699372,3.633313988874577
"Tippah County, Mississippi",28,139,21769,5735,369,293,83,315,261,3924,1306,279,630,278,5735,4293,1383,5735,4293,1599,1510,369,315,399,742,6581,3924,1043,630,1614,1141,2657,344,557,0.0859538784067086,0.30042127435492366,0.18323952470293933,0.38179800221975585,0.21446739594821507,0.19855847751681652,3.495145069934112,2.083600701533753
"Tishomingo County, Mississippi",28,141,18837,5240,228,140,67,349,266,3887,1446,194,455,264,5240,4115,1490,5240,4115,1586,1840,228,349,416,1196,6623,3887,709,455,2027,1612,2736,333,458,0.055407047387606316,0.37074517019319225,0.08827238335435057,0.42098609355246525,0.31533812280558593,0.3327137101981147,6.691299891863975,4.769171031244356
"Tunica County, Mississippi",28,143,9787,1983,11,8,7,403,296,978,236,191,352,218,1983,989,174,1983,989,244,1047,11,403,410,626,2548,978,584,352,986,1036,1570,303,409,0.011122345803842264,0.397544128933231,0.03278688524590164,0.425561797752809,0.38642178312938874,0.3927749125069074,35.74283122863323,12.979634831460674
"Union County, Mississippi",28,145,27880,7130,176,133,114,268,195,4940,1975,200,1186,798,7130,5116,1954,7130,5116,2108,1196,176,268,426,594,9031,4940,1588,1186,2503,1020,4091,309,998,0.03440187646598905,0.19956955585991,0.06309297912713473,0.2364192807957154,0.16516767939392094,0.17332630166858065,5.8011241351096565,3.7471567211832184
